# h138.osc
# tested 5 may 95
# fixed atten #2, Pac MM Prod det #50, bolted directly to
#	LO plate w/g atten; atten=5000; modulator = +300
# 23sep97 - changed all loop gains by +0.3
# 08sep05 - Commented out measured power, vop, mmerrv
#
# $Id: h138.tab,v 1.3 2005/09/22 00:59:49 colby Exp $
#
#| lo    | osctarg | oscbcktarg | vop | lgain |
#| r     | i       | i          | r   | r     |
  71.201  17250      29210       9.50   4.80 #   0.05514    9.48   0.22
  71.001  17138      29052       9.50   4.80 #   0.05803    9.48   0.23
  70.801  17018      29052       9.50   4.80 #   0.04823    9.48   0.22
  70.601  16907      29052       9.50   4.80 #   0.04032    9.48   0.30
  70.401  16788      29025       9.50   4.80 #   0.04183    9.50   0.09
  70.201  16670      28972       9.50   4.80 #   0.05051    9.48   0.24
  70.001  16565      28920       9.50   4.80 #   0.04961    9.47   0.37
  69.801  16447      28867       9.50   4.80 #   0.04005    9.49   0.13
  69.601  16350      28814       9.50   4.80 #   0.03644    9.50   0.03
  69.401  16256      28761       9.50   4.80 #   0.04272    9.50   0.07
  69.201  16148      28709       9.50   4.80 #   0.04855    9.50   0.05
  69.001  16035      28657       9.50   4.80 #   0.03812    9.37   1.35
  68.801  15931      28446       9.50   4.80 #   0.03174    9.36   1.39
  68.601  15817      28236       9.50   4.80 #   0.03713    9.56  -0.55
  68.401  15684      28025       9.50   4.80 #   0.04912    9.72  -2.11
  68.201  15579      27814       9.50   4.80 #   0.04662    9.51   0.00
